,Acceleration,Agility,Awareness,Ball Carrier Vision,Block Shedding,Carrying,Catch In Traffic,Catching,Elusiveness,Finesse Moves,Hit Power,Impact Blocking,Injury,Juke Move,Jumping,Man Coverage,Name,Overall Rating,Pass Block,Play Action,Play Recognition,Position,Power Moves,Press,Pursuit,Release,Route Running,Run Block,Spectacular Catch,Speed,Spin Move,Stamina,Stiff Arm,Strength,Tackle,Team,Throw Accuracy Deep,Throw Accuracy Mid,Throw Accuracy Short,Throw Power,Throw on the Run,Toughness,Trucking,Zone Coverage,Wt,Vertical,Bench,Broad Jump,3Cone,Shuttle,40yd
3076,91,81,69,77,45,73,84,76,62,10,12,65,80,81,87,20,Junior Hemingway,71,55,22,25,WR,10,15,35,75,67,50,73,86,73,91,63,68,41,Chiefs ,20,22,24,35,19,87,69,25,225.0,35.5,21.0,124.0,6.59,3.98,4.48
3077,94,85,40,82,49,60,63,77,70,10,12,49,91,80,85,10,Donatella Luckett,59,40,6,29,WR,10,10,45,53,55,46,73,92,75,85,52,70,45,Chiefs ,6,10,15,32,10,69,57,15,211.0,34.0,17.0,118.0,7.51,4.5,4.4
3084,89,89,76,69,35,68,71,78,72,20,15,45,87,74,91,10,Vincent Brown,71,35,6,20,WR,20,10,45,60,76,31,88,84,76,90,36,44,24,Colts ,6,10,15,30,10,85,42,24,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3085,91,89,64,81,40,72,80,83,63,10,15,54,92,72,83,18,Duron Carter,70,38,6,26,WR,10,25,45,76,54,44,85,85,70,85,65,69,42,Colts ,6,10,15,33,10,73,67,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3093,91,93,68,78,29,59,77,74,79,10,12,30,83,85,82,13,Ryan Lankford,62,34,6,20,WR,10,18,35,36,54,35,72,92,81,87,27,39,31,Colts ,6,10,15,35,10,80,27,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3104,92,90,57,77,25,64,55,67,75,10,15,30,88,80,86,22,Reggie Dunn,56,25,6,25,WR,10,25,41,44,42,36,73,96,73,84,30,66,34,Cowboys ,6,10,15,32,10,65,29,34,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3106,90,83,45,77,35,67,83,75,61,10,15,45,87,82,86,20,Deontay Greenberry,63,42,22,25,WR,10,15,35,74,47,45,82,88,78,85,72,73,37,Cowboys ,20,22,24,35,19,59,67,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3108,89,91,66,76,40,64,72,78,85,10,12,39,88,84,91,15,A.J. Jenkins,68,35,6,20,WR,10,18,45,55,68,46,80,91,75,92,39,39,25,Cowboys ,6,10,15,35,10,81,35,20,190.0,38.5,12.0,124.0,121.61290322580645,4.206999999999997,4.37
3121,91,83,52,69,55,75,73,72,62,10,12,59,88,72,87,20,LaRon Byrd,65,50,22,25,WR,10,15,35,74,61,44,78,89,75,87,58,63,40,Dolphins ,20,22,24,35,19,63,63,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3127,86,88,90,87,35,63,74,87,82,10,15,35,93,87,90,12,Greg Jennings,81,22,6,17,WR,10,15,45,73,84,35,92,86,85,94,42,52,22,Dolphins ,6,10,15,35,10,75,49,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3129,88,87,54,55,36,72,74,76,70,10,15,35,88,73,87,10,Michael Preston,65,28,6,28,WR,10,15,33,75,64,57,84,83,75,85,52,65,20,Dolphins ,6,10,15,23,10,75,50,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3132,91,87,51,60,49,74,77,72,59,10,12,45,84,72,85,11,Tommy Streeter,64,40,10,19,WR,10,10,60,73,57,40,82,91,70,88,65,59,35,Dolphins ,20,25,30,35,20,86,62,16,219.0,33.0,17.0,125.0,7.08,4.206999999999997,4.37
3136,90,86,67,72,56,68,81,77,55,10,12,55,92,72,85,10,Seyi Ajirotutu,69,37,6,20,WR,10,10,24,70,68,38,78,82,66,85,65,70,32,Eagles ,6,10,15,30,10,87,67,30,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3137,86,85,87,85,35,67,81,86,74,10,12,40,85,82,89,15,Miles Austin,78,21,6,26,WR,10,10,35,65,80,56,82,84,80,97,59,61,15,Eagles ,6,10,15,21,10,72,57,26,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3140,89,83,80,75,58,68,86,82,52,10,15,66,87,74,89,15,Riley Cooper,76,45,6,25,WR,10,15,65,83,73,62,82,85,75,90,67,69,46,Eagles ,6,10,15,23,10,80,66,18,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3142,92,82,52,84,49,72,79,83,61,10,12,58,78,72,86,15,Devante Davis,65,40,15,22,WR,10,10,42,62,51,42,81,87,73,88,75,68,44,Eagles ,25,35,40,39,25,69,71,25,220.0,35.5,16.0,115.0,7.25,4.12,4.57
3146,87,88,70,72,35,67,78,82,65,10,15,45,90,86,75,29,Jeff Maehl,64,40,6,23,WR,10,15,29,37,69,46,76,84,72,92,29,45,32,Eagles ,6,10,15,34,10,85,40,14,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3148,92,91,64,79,40,66,75,73,74,10,15,40,88,75,84,19,Quron Pratt,66,24,6,13,WR,10,15,17,49,73,35,64,88,74,87,35,53,25,Eagles ,6,10,15,29,10,66,42,26,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3162,89,92,81,98,47,64,70,74,94,25,30,35,89,94,90,61,Devin Hester,74,20,6,42,WR,20,52,64,65,69,33,74,91,93,95,45,53,40,Falcons ,6,10,15,35,10,70,36,62,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3174,87,86,95,80,45,72,86,90,83,10,15,30,92,86,92,18,Roddy White,84,30,6,26,WR,10,15,39,75,82,39,84,84,84,98,58,64,45,Falcons ,6,10,15,25,10,90,66,26,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3179,88,85,66,65,49,63,78,82,58,10,12,63,88,65,91,10,Juron Criner,70,55,6,20,WR,10,10,24,71,69,53,90,82,67,91,74,72,32,Giants ,6,10,15,30,10,81,70,30,224.0,38.0,17.0,117.0,7.15,4.3,4.66
3184,90,88,49,76,54,74,81,74,67,10,12,63,95,75,88,15,Chris Harper,66,60,35,24,WR,10,10,55,77,54,55,79,86,81,94,64,72,44,Giants ,44,53,64,70,60,84,69,25,229.0,35.5,20.0,116.0,6.89,4.39,4.55
3195,87,89,76,67,35,65,65,78,87,10,12,43,87,87,86,10,Preston Parker,70,40,21,15,WR,10,10,35,64,74,59,76,83,77,84,54,51,32,Giants ,25,25,25,40,20,70,55,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3200,89,88,56,72,35,66,66,71,68,10,12,45,89,76,96,11,Julian Talley,63,45,10,20,WR,10,19,40,67,63,50,74,85,73,86,64,55,35,Giants ,15,20,25,40,15,72,49,20,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3206,87,84,73,72,49,71,84,84,58,10,12,42,85,73,87,15,Tandon Doss,71,35,6,26,WR,10,10,35,65,68,53,73,84,77,91,57,68,34,Jaguars ,6,10,15,21,10,80,65,26,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3211,92,95,71,87,36,65,69,79,90,10,12,35,86,93,81,10,Ace Sanders,71,35,15,25,WR,10,10,42,59,72,45,75,87,84,94,39,41,30,Jaguars ,20,30,35,28,15,73,45,20,173.0,32.0,7.0,117.0,6.81,4.37,4.58
3223,95,90,62,72,35,65,63,70,82,10,12,31,87,87,88,18,Saalim Hakim,57,29,24,30,WR,10,10,65,39,42,35,57,96,78,83,35,37,34,Jets ,20,20,25,40,21,64,28,14,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3227,93,85,65,74,45,76,76,75,55,10,25,42,75,66,95,10,Chris Owusu,68,42,6,17,WR,10,25,35,73,54,38,68,93,70,88,73,68,35,Jets ,6,10,15,32,10,85,62,22,196.0,40.5,19.0,129.0,6.85,4.11,4.36
3236,88,89,70,79,35,66,82,82,87,35,48,49,66,83,78,25,Ryan Broyles,71,41,10,17,WR,25,29,29,47,76,46,74,85,76,88,61,63,35,Lions ,15,25,35,35,11,85,40,35,192.0,35.25526315789474,21.0,121.61290322580645,121.61290322580645,4.206999999999997,4.57
3243,89,93,91,90,45,66,91,97,88,10,15,57,89,90,98,12,Calvin Johnson,95,35,6,17,WR,10,15,47,98,92,60,98,89,87,98,82,78,28,Lions ,6,10,15,35,10,93,72,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3244,92,86,43,75,35,66,65,79,86,10,12,35,87,89,87,20,Vernon Johnson,59,35,10,15,WR,10,20,10,60,45,39,74,87,79,85,43,70,32,Lions ,15,20,25,35,15,72,37,15,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3248,88,87,84,85,40,73,76,81,77,10,12,25,86,82,82,11,Lance Moore,73,35,6,24,WR,10,10,35,63,77,51,75,82,86,95,28,42,20,Lions ,6,10,15,20,10,80,38,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3254,91,95,85,92,35,73,88,92,98,10,15,49,89,95,91,18,Golden Tate,88,18,15,25,WR,10,15,49,74,87,34,89,88,85,95,62,59,19,Lions ,20,25,25,27,10,89,65,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3260,89,91,46,74,35,65,61,79,82,20,15,45,88,82,83,10,Javess Blue,60,32,6,20,WR,20,10,45,47,60,34,87,87,75,85,35,57,24,Packers ,6,10,15,30,10,56,32,24,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3261,91,81,41,74,39,68,66,79,68,25,28,45,92,76,86,25,Ricky Collins,61,37,10,35,WR,10,43,45,80,52,39,80,88,74,85,50,64,39,Packers ,10,10,10,35,10,75,51,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3271,93,92,71,84,39,72,78,79,87,10,12,39,93,88,84,13,Corey Brown,73,36,6,20,WR,10,18,35,59,74,47,87,88,82,88,25,39,29,Panthers ,6,10,15,25,10,74,29,25,178.0,33.0,14.181818181818182,116.0,7.16,4.22,4.51
3272,83,90,66,77,35,75,73,74,79,20,12,50,90,86,82,20,Mike Brown,66,26,35,15,WR,15,20,39,61,65,36,75,81,82,88,44,63,33,Panthers ,52,55,58,73,45,74,49,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3276,84,81,86,82,40,76,92,84,55,10,15,71,94,77,83,10,Jerricho Cotchery,76,31,6,28,WR,10,15,49,76,72,56,74,80,79,91,60,69,27,Panthers ,6,10,15,27,10,96,67,17,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3283,91,94,48,83,45,72,67,74,88,25,40,45,82,87,83,72,De'Andre Presley,58,40,39,44,WR,21,45,48,45,49,40,79,88,77,91,28,37,45,Panthers ,51,54,61,72,70,87,42,71,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3297,84,87,77,74,39,65,83,81,76,10,25,45,83,84,86,10,Brandon Gibson,73,30,6,17,WR,10,25,22,77,69,59,76,82,78,85,40,64,24,Patriots ,6,10,15,25,10,75,55,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3304,90,88,68,72,47,68,79,79,66,10,12,52,92,74,84,25,Brian Tyms,70,35,6,25,WR,10,10,29,76,60,50,82,88,73,86,61,68,31,Patriots ,6,10,15,40,10,72,58,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3314,91,87,58,84,29,73,82,82,82,10,12,36,83,85,83,13,Josh Harper,69,36,6,20,WR,10,18,35,49,71,42,79,88,77,88,37,65,31,Raiders ,6,10,15,35,10,68,35,25,191.0,32.0,13.0,108.0,7.15,4.36,4.64
3322,89,92,71,78,35,71,80,84,80,10,12,43,94,88,86,11,Stedman Bailey,76,45,10,20,WR,10,19,40,74,76,61,87,87,76,93,66,49,31,Rams ,15,20,25,45,15,84,44,20,193.0,34.5,11.0,117.0,6.81,4.09,4.52
3335,91,89,72,76,55,69,83,76,84,10,15,35,90,86,84,10,Damian Williams,72,37,6,28,WR,10,15,33,73,70,58,67,85,82,89,45,60,20,Rams ,6,10,15,23,10,70,49,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3337,91,92,50,85,40,68,76,73,88,10,15,44,79,76,92,15,Devon Wylie,62,33,6,35,WR,10,15,66,39,66,31,64,91,83,95,43,42,49,Rams ,6,10,15,35,10,93,35,25,187.0,39.0,17.0,123.0,121.61290322580645,4.206999999999997,4.36
3363,89,92,64,79,44,60,61,68,80,10,12,40,82,82,81,15,Colin Lockett,64,34,6,26,WR,10,10,35,77,57,38,79,90,76,89,44,59,32,Redskins ,6,10,15,35,10,67,29,26,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3372,84,84,93,71,61,72,97,91,46,10,15,48,84,78,92,11,Marques Colston,86,30,6,18,WR,10,15,56,93,84,43,85,83,70,95,72,78,45,Saints ,6,10,15,28,10,93,72,15,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3377,87,91,58,78,36,68,64,74,72,10,15,50,90,83,83,15,Lance Lewis,62,45,6,22,WR,10,15,15,72,54,47,74,84,76,85,47,61,38,Saints ,6,10,15,35,10,75,48,14,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3380,87,89,65,79,55,68,69,72,88,10,15,51,76,77,87,18,Joseph Morgan,68,35,6,22,WR,10,15,53,72,65,49,84,90,76,79,42,52,30,Saints ,6,10,15,24,10,52,37,18,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3381,91,82,79,80,35,74,83,74,67,10,12,65,80,84,90,10,Josh Morgan,75,40,6,20,WR,10,15,35,83,70,64,74,86,81,91,65,72,25,Saints ,6,10,15,35,10,84,70,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3385,93,87,55,80,29,66,75,80,87,10,15,31,85,88,84,18,Jalen Saunders,65,32,6,24,WR,10,10,34,50,69,38,67,90,76,90,32,40,25,Saints ,6,10,15,34,10,69,30,25,165.0,34.0,14.181818181818182,122.0,121.61290322580645,4.206999999999997,4.44
3387,88,83,67,72,37,69,78,79,56,10,12,57,79,66,90,11,Nick Toon,72,55,6,20,WR,10,18,30,81,70,53,82,89,72,90,45,66,35,Saints ,6,10,15,45,10,77,67,25,215.0,37.5,18.0,121.61290322580645,121.61290322580645,4.206999999999997,4.49
3395,91,87,73,75,49,68,74,81,74,10,25,35,88,80,94,45,Ricardo Lockette,74,21,6,15,WR,10,35,35,68,69,52,82,92,75,85,60,65,32,Seahawks ,6,10,15,33,10,75,57,52,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3411,90,87,40,73,40,74,64,67,75,10,15,53,76,84,85,20,Devin Gardner,64,40,40,25,WR,10,25,42,81,72,50,83,84,74,85,58,67,42,Steelers ,59,61,56,71,67,83,63,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3420,86,88,57,80,35,69,84,74,77,10,12,43,90,84,82,11,Alan Bonner,61,40,10,20,WR,10,19,40,47,56,42,69,85,76,86,42,52,39,Texans ,15,20,25,45,15,68,35,20,193.0,33.0,14.0,117.0,121.61290322580645,4.15,4.59
3423,90,94,75,81,35,65,71,78,90,10,15,35,92,92,80,19,Damaris Johnson,71,31,25,17,WR,10,15,22,52,76,47,82,86,84,88,40,44,28,Texans ,30,30,35,35,40,60,33,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3427,91,91,78,77,35,68,81,84,81,10,12,35,87,83,91,13,Cecil Shorts,78,30,6,20,WR,10,18,30,71,80,52,85,86,78,92,42,44,35,Texans ,6,10,15,34,10,76,35,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3434,93,90,71,77,35,64,74,72,93,10,12,35,69,94,88,10,Jacoby Ford,71,21,6,20,WR,10,15,35,58,68,50,88,93,92,87,32,45,20,Titans ,6,10,15,35,10,67,52,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3435,90,92,64,76,44,64,64,69,87,10,15,34,90,91,90,12,Clyde Gates,67,25,6,22,WR,10,15,37,66,65,45,81,93,83,88,44,42,20,Titans ,6,10,15,10,10,70,34,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3447,92,92,42,74,40,70,81,80,65,10,12,49,88,77,90,10,DaVaris Daniels,64,40,6,25,WR,10,10,27,72,52,47,76,88,75,83,49,65,30,Vikings ,6,10,15,36,10,81,58,20,201.0,37.0,13.0,122.0,121.61290322580645,4.206999999999997,4.62
3454,84,90,41,69,40,68,73,78,63,10,15,49,87,74,86,15,Gavin Lutman,59,40,6,25,WR,10,25,35,63,49,45,79,90,73,83,57,68,40,Vikings ,6,10,15,23,10,74,65,20,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3480,95,95,68,84,35,67,72,76,93,10,12,45,95,93,87,18,Armanti Edwards,72,30,34,26,WR,10,10,50,68,61,39,79,91,90,95,50,52,16,Bears,66,72,69,86,84,90,40,14,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3481,93,91,70,87,39,72,72,75,75,10,12,35,87,78,84,20,Micheal Spurlock,71,30,39,20,WR,10,10,25,68,67,48,74,90,72,85,42,58,34,Bears,43,52,57,65,68,69,58,13,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3482,84,81,54,69,35,69,77,72,54,10,12,55,94,74,92,26,Terrence Toliver,63,49,5,31,WR,10,10,58,86,48,65,85,85,73,84,70,69,45,Bears,5,10,15,25,10,60,72,14,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3497,83,85,69,78,44,70,84,81,66,10,15,49,87,75,75,10,Dane Sanzenbacher,70,35,5,19,WR,10,15,45,74,71,50,73,85,90,90,35,46,24,Bengals,5,10,15,33,10,92,34,16,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3498,83,85,66,70,45,67,85,79,62,10,15,58,91,73,75,29,Ryan Whalen,68,55,5,23,WR,10,15,45,67,72,46,70,84,75,92,55,70,43,Bengals,5,10,15,35,10,94,53,14,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3509,88,85,66,75,55,68,79,77,67,10,12,62,83,78,95,11,Ramses Barden,72,40,10,19,WR,10,10,60,81,65,54,85,85,72,86,67,72,49,Bills,20,25,30,35,20,77,64,16,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3510,88,91,56,68,43,72,64,70,59,10,15,54,90,74,86,18,Kevin Elliott,60,35,22,25,WR,10,15,59,74,45,39,73,86,73,86,61,62,31,Bills,35,40,44,49,55,75,64,26,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3525,95,92,97,94,45,69,94,89,93,10,15,35,93,88,74,11,Wes Welker,89,17,5,19,WR,10,15,45,69,96,61,85,85,92,98,65,54,27,Broncos,5,10,15,27,10,99,66,16,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3539,89,90,82,87,39,73,66,83,91,10,15,35,74,92,90,12,Nate Burleson,77,25,5,22,WR,10,15,37,60,80,43,81,91,86,89,35,51,10,Browns,5,10,15,10,10,80,40,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3540,93,89,68,74,37,62,65,72,84,10,15,49,90,88,93,22,Anthony Armstrong,68,35,10,27,WR,10,15,30,56,66,49,87,93,85,87,35,52,25,Browns,10,10,15,25,10,78,37,20,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3541,87,90,49,76,35,70,87,83,72,10,15,42,93,73,82,15,Conner Vernon,64,34,5,19,WR,10,15,39,48,72,32,69,83,75,95,41,44,28,Browns,5,10,15,35,10,81,56,25,196.0,32.5,14.181818181818182,125.0,6.93,4.22,4.68
3554,94,92,71,85,52,67,67,76,85,10,12,35,90,95,90,12,Lavelle Hawkins,72,30,5,20,WR,10,15,30,58,76,49,75,92,90,74,40,45,25,Buccaneers,5,10,15,35,10,72,44,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3555,93,89,65,81,36,51,75,82,76,10,12,39,95,74,80,15,Eric Page,66,25,28,26,WR,10,10,35,42,68,49,80,87,90,94,43,43,22,Buccaneers,39,46,60,63,66,80,60,26,186.0,30.0,15.0,112.0,6.95,3.98,4.5
3556,92,90,55,79,35,68,65,73,85,10,15,32,90,87,88,12,Skye Dawson,61,25,5,24,WR,10,15,42,40,61,44,74,93,82,87,29,42,32,Buccaneers,5,10,15,24,10,60,27,17,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3575,96,94,78,96,39,73,69,77,89,10,25,30,90,95,88,10,Ted Ginn,79,25,5,26,WR,10,30,44,69,81,55,78,97,93,95,25,46,35,Cardinals,5,10,15,40,10,50,40,20,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3576,91,90,50,83,35,69,75,80,86,10,12,35,88,87,82,15,Walt Powell,62,35,5,21,WR,10,15,36,45,55,40,82,88,78,92,42,45,25,Cardinals,5,10,15,35,10,72,41,30,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3600,94,92,80,85,35,61,74,82,88,10,12,35,79,96,85,12,Donnie Avery,78,26,5,20,WR,10,18,35,63,81,37,80,95,90,92,45,42,25,Chiefs,5,10,15,35,10,64,45,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3601,92,88,65,82,35,66,78,80,80,10,15,39,92,84,83,26,Weston Dressler,66,35,5,23,WR,10,15,29,50,60,35,74,90,78,93,35,45,39,Chiefs,5,10,15,25,10,84,37,21,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3602,90,88,40,69,45,66,59,72,74,10,20,35,84,85,94,15,Jerrell Jackson,55,32,5,20,WR,10,20,30,55,43,45,73,92,75,90,33,72,33,Chiefs,5,10,15,32,10,84,31,20,196.0,41.0,22.0,127.0,6.82,4.11,4.5
3622,87,87,98,88,35,74,94,94,72,10,15,55,84,88,83,13,Reggie Wayne,87,34,5,28,WR,10,15,33,75,89,52,88,86,83,90,45,52,20,Colts,5,10,15,23,10,80,56,14,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3623,91,87,69,80,45,71,80,79,84,10,15,29,84,82,87,14,LaVon Brazill,72,29,5,16,WR,10,15,40,68,62,58,87,89,74,88,45,58,25,Colts,5,10,15,33,10,69,49,31,192.0,32.5,11.0,121.61290322580645,121.61290322580645,4.206999999999997,4.43
3624,88,92,49,81,42,73,85,78,73,10,12,49,90,85,94,10,Da'Rick Rogers,71,45,5,27,WR,10,10,37,85,61,55,88,89,76,87,68,61,32,Colts,5,10,15,38,10,74,74,21,217.0,39.5,10.0,132.0,6.71,4.06,4.5
3637,85,88,49,65,35,66,83,76,55,10,15,51,92,84,86,12,Tim Benford,63,48,5,26,WR,10,15,45,70,58,49,78,86,76,87,46,57,39,Cowboys,5,10,15,38,10,81,59,20,205.0,35.25526315789474,15.0,121.61290322580645,121.61290322580645,4.206999999999997,4.51
3638,87,86,56,56,55,65,64,72,58,10,15,49,88,72,91,15,Jamar Newsome,62,42,5,18,WR,10,15,49,77,56,55,72,90,71,87,55,65,49,Cowboys,5,10,15,28,10,74,60,15,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3639,88,84,45,70,35,70,77,78,62,10,15,54,90,72,87,20,Chris Boyd,60,45,10,15,WR,10,20,25,60,54,55,81,86,70,85,59,57,40,Cowboys,15,20,25,35,15,70,52,15,206.0,35.25526315789474,12.0,121.61290322580645,121.61290322580645,4.206999999999997,4.73
3645,84,87,60,65,60,62,67,76,66,10,15,54,88,66,93,15,Stephen Williams,65,32,5,18,WR,10,15,49,72,64,50,80,89,59,82,67,58,45,Dolphins,5,10,15,28,10,74,49,15,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3651,87,93,72,97,39,81,69,73,92,10,20,45,93,93,87,15,Brad Smith,72,26,35,22,WR,10,20,37,67,63,48,73,90,91,85,65,63,25,Eagles,59,63,68,83,74,65,57,30,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
3652,79,83,51,72,51,74,82,76,62,10,15,56,84,83,82,18,B.J. Cunningham,64,45,5,25,WR,10,25,30,80,64,59,65,84,74,89,55,52,33,Eagles,5,10,15,25,10,74,71,25,211.0,31.5,12.0,116.0,7.1,4.206999999999997,4.52
3664,89,85,74,75,37,69,74,79,73,10,12,45,88,81,83,15,Drew Davis,71,35,5,20,WR,10,15,35,64,71,64,79,88,73,85,42,60,32,Falcons,5,10,15,35,10,62,54,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
